FID	IID	PalmiticAcid	LinoleicAcid	AlphaLinolenicAcid	OleicAcid
PI-212893	PI-212893	-0.170977815596405	-3.25207962876866	-3.31409766435766	0.817308334028982
PI-359838	PI-359838	0.329080671231897	0.635017079521478	0.295907093318158	0.155109855922687
W6-25940	W6-25940	0.985676887868509	-0.837272877423016	0.760843009201835	0.311261261793918
W6-25941	W6-25941	-0.0999980884430026	2.35582771439629	4.43510429456473	-0.712871682107218
W6-25942	W6-25942	-0.190091575296386	-0.919459357156138	10.8553588791644	-0.959524206704493
W6-25943	W6-25943	-2.62410855011758	0.70453371064454	-4.05959583790194	0.441890717996807
W6-25944	W6-25944	-0.433947590046537	2.540087682318	2.356964653307	-0.825689307551037
W6-25945	W6-25945	0.207374471119431	-2.75152636236321	2.86165222652032	-1.03573451186742
W6-25946	W6-25946	0.722153832795509	0.0633839412900289	13.2109908500436	-1.02949837224429
W6-25947	W6-25947	-0.633014872594529	4.79770770559742	0.798447440039573	-1.63956317205148
W6-25948	W6-25948	0.0841859787967877	-0.250232248754052	-1.04932236818555	-0.565677514050626
W6-25949	W6-25949	-0.531007318977086	-13.9090784331734	-1.97555113579035	-2.10370899223093
PI-359852	PI-359852	-0.20050367234252	3.93827193964207	-6.41665670499504	0.598590916192229
W6-25950	W6-25950	-0.609174318758306	6.79465092901751	2.13135813993751	-0.959054146123613
W6-25951	W6-25951	5.50036593519732	-7.19402382129223	-2.57735186781993	1.05457939017514
W6-25953	W6-25953	-0.504648150063497	4.27673134728564	1.93496832515929	-0.121576299390912
W6-25954	W6-25954	0.483742746201752	2.73416773647253	4.11888048017133	0.00874595920260093
W6-25955	W6-25955	-0.517452705345381	-7.99627257382252	-5.82182065256063	-0.508805102624917
W6-25957	W6-25957	0.00909372310950668	-0.50652267172258	-1.3277737133246	0.560551078091984
W6-25958	W6-25958	0.507810777089472	-6.39221664104639	-6.64408781722977	0.0501323475367453
W6-25959	W6-25959	0.613433801971019	0.10464024349227	14.4952967664453	0.726269041694938
W6-25960	W6-25960	0.155746151292826	16.1802114308735	6.53669623308355	0.27536133970065
W6-25961	W6-25961	2.3861996959597	-3.63206872487531	4.57129596590228	-2.05744280512332
PI-359864	PI-359864	0.927679230028675	-5.53355484827655	8.27496869019206	2.8208824484
W6-25962	W6-25962	-2.18245046807729	-0.576146146382836	-0.969587210226298	-0.0292494957715719
W6-25963	W6-25963	2.16319776301081	-4.8961488702866	-1.05780654481732	2.28832177827353
W6-25964	W6-25964	-0.0983263018531131	-4.67917904182139	1.6875221556077	-0.19765937862084
W6-25965	W6-25965	2.64169035739978	-1.18092455999247	-14.1671270750641	-0.293274584317325
W6-25966	W6-25966	0.521140074949491	0.722394778298288	0.375853272338811	1.11819172984637
W6-25967	W6-25967	0.244063239301692	11.0333223918145	5.35721703144538	0.954968553791265
W6-25970	W6-25970	0.42145150352604	-3.56381176639308	6.62790721177011	-0.0477447632009392
W6-25971	W6-25971	0.00148575927280147	-2.85210895313781	11.0976619626464	-0.567719536005556
W6-25972	W6-25972	-0.392018991247326	-4.70776319326267	-0.846753607329102	-0.652818318080523
W6-25973	W6-25973	-0.249392075467642	-0.297289781612191	4.97845345128631	1.11710504718597
PI-360188	PI-360188	-0.0163111674378954	-0.619557840053792	4.65212903643437	0.37525716448941
W6-25974	W6-25974	0.377549261450011	-3.17490050831402	-0.343114423993386	0.00214621165659064
W6-25975	W6-25975	0.67421879622283	-4.60921544744072	0.253577981757532	-0.515569191441602
W6-25976	W6-25976	-3.33739627698359	2.85058137313178	2.08208471382717	1.64723340376911
W6-25977	W6-25977	-0.120759296606769	-8.0462840111972	-0.808234635086604	-0.670171604673788
W6-25978	W6-25978	0.192197755820428	-9.51639508557	-3.24706755818336	0.573468290318077
W6-25979	W6-25979	0.264014119997834	2.7428829927668	-1.06700041879212	0.255930970437128
W6-25980	W6-25980	-0.256612495868841	2.96820774088957	-0.364059012586103	-2.26420697295084
W6-25981	W6-25981	-0.535437896753808	-1.82386452239448	0.215637249101207	-0.048561556354265
W6-25982	W6-25982	-0.231489807709398	4.26741482481798	-4.68509654471021	-0.713560253075745
W6-25983	W6-25983	0.211825281751703	1.69502930525971	-11.9999104219056	0.0529112017506565
PI-360223	PI-360223	-1.53725158458034	3.08196936147327	-8.4673287810056	-2.30947493289785
W6-25984	W6-25984	0.262924907885558	-3.90129642209756	-2.93091768270259	-0.129141273858519
W6-25985	W6-25985	-0.701253143810353	2.5544307370718	16.1871882612091	-2.87414945007818
W6-25986	W6-25986	-1.33047442877179	-5.27548712116839	-0.852395136619941	0.105950879773872
W6-25987	W6-25987	-0.293486298894395	1.24251593560172	-4.54465304939959	-0.77232793935208
W6-25988	W6-25988	-1.03117627144055	16.0303186384437	14.7103561533656	-0.17034558653813
W6-25989	W6-25989	0.432994142713275	-10.604336926576	1.8876207077128	-0.0984022919789677
W6-25990	W6-25990	-0.204858265386651	0.422848738577407	1.49824474029178	0.0189148003597901
W6-25991	W6-25991	-0.62958989704286	2.69251940957288	7.39638320905136	-0.698441286759224
W6-25992	W6-25992	0.362776592168052	1.11799637490829	0.431449657101941	1.60115613196542
W6-25993	W6-25993	0.462779630961297	-7.26977510397532	-5.85585705468139	1.20452082319864
PI-360273	PI-360273	-0.163925726596853	5.357717540117	5.83989321578679	0.0623638522191869
W6-25994	W6-25994	0.889512154199882	-3.54211440859944	0.629010670068198	0.577407603056417
W6-25995	W6-25995	2.86362259959529	-5.16425402861324	-3.20829179529238	2.9078949577917
W6-25996	W6-25996	0.517055606821067	1.60197484101972	-1.90737654125591	-0.0742174646584149
W6-25998	W6-25998	-1.18922702196567	4.62241108201476	-2.53464264401774	0.0962949608166616
W6-25999	W6-25999	0.49923510449661	-1.72825240263693	0.676107281965449	-0.253198942868608
W6-26001	W6-26001	-0.281320744271926	-3.82187195875877	-4.94995755227871	-0.109871725924497
W6-26002	W6-26002	-0.545381071820843	0.516652939706732	-0.137023018090647	0.888330601512008
W6-26003	W6-26003	-0.501438103477699	6.7142813053435	-3.60772630037052	2.74305659020906
W6-26004	W6-26004	0.171548929725005	-1.02024787073388	3.15787761605458	0.199637539484579
